iter,mu,reward,scale
0,0.5,-5.748275940224992,100.0
1,3.530224441600494,-5.1119918767282275,0.7069175014291494
2,3.398234778356194,-5.028892911418153,0.3470166870108063
3,2.425886886395943,-5.029356679090626,1.3596735652802914
4,1.9813889132265088,-4.294253004565197,0.5601588246026733
5,1.5528801096814613,-4.65273840671498,0.24034024129855724
6,1.5536194884350365,-4.659032988138515,0.16083488252230746
7,1.3801767048694278,-3.4411446923944053,0.06373287951057076
8,1.3916016886518476,-3.198892668855162,0.020281492358598104
9,1.3528197219339684,-2.5983438690408427,0.009755612322135593
10,1.3487133857503673,-2.494738447944033,0.0020622916327113737
11,1.346749571127323,-2.4495685656295048,0.0014575418557588682
12,1.3370333427140235,-2.4300832807416315,0.0006970627675868872
13,1.3360385665267733,-2.4078100373285176,0.00012691072136092197
14,1.3345388410283863,-2.3987155288021915,6.568527076645561e-05
15,1.3323696061865522,-2.3987155288021915,5.1369119563967196e-05
16,1.3311424339815943,-2.4053048962455854,4.377090293628915e-05
17,1.3298015295613006,-2.3987155288021915,1.5202911861408262e-05
18,1.3293497406590382,-2.4020102125238885,1.7681519367162147e-05
19,1.3296284491645378,-2.3987155288021915,1.7002462042748135e-05
